Se ko:lotl wan se tsana	El Alacrán y el Zanete
Wankino teipa, kistehe para kikwtih axmihatsi.	En seguida, se retiraron para ir a traer al falso difunto.
Pero kiihlamihi inehtlahtolis, wankino no:pa siwatl kitemohi se kwamekatl wan mokwawiyonihi iwan momiktihi.	Sin embargo, recordando su juramento, sin más pensarlo la mujer buscó una soga y se colgó.
Kema no:pa tlapalewiani mokwapkeh kiwalikakeh nopa iteta kiasitoh isiwa mokyok mokwawiyonitok ipan se kwatetomitl, iwan kikixttitok inenepli.	Cuando los peones volvieron cargando al marido se encontraron con el cadáver de la esposa colgando de una viga, con la lengua de fuera.
No:pa tlakatl mo arrpentirohi tle:n kichihi, pero axonkak seyok tlamantli tle:n kichiwas más ke kitokas isiwa.	El señor se arrepintió mil veces de su actitud, pero no tuvo más remedio que enterrar a su esposa.
No:pa iteta iknotsi eliyaya nochipa kema yowiyaya imilla axkinekiyaya tekitis, tlawel mokwesoyaya.	El marido que era huérfano y no tenía a nadie más en el mundo, cada vez que se iba a la milpa perdía el interés de trabajar.
San kiihlamikiyaya no:pa isiwa iwan mochokiliyaya itsntla se kwakwitl.	Nomás se quedaba pensando en su señora y se ponía a llorar al pie de un árbol.
Ipan se tonanti kema yahi imilla, sampa yahi mosewitok itsintla se kwawitl, mosewiko se kwahtli iwan moketski kema kiitak iwan kitlahtlanilihi kenke para choka/mochokiliya.	Uno de esos días que fue a la milpa, no pudo más y se sentó a llorar a los pies de un árbol, llegó volando un gavilán que se detuvo al verlo y le preguntó el motivo de su desgracia.
No:pa tlakatl tlachixki wahapa, kiitak nopa kwahtli, mosewitok ipan se imakwayo kwawitl wan kinenkilihi: para ya: kiihyowiya se kipechtok se kwesolli tle:n imikillis isiwa.	El hombre miró hacia arriba, vio al gavilán parado en una rama y le contestó que él sufría una gran tristeza por la pérdida  de su esposa.
Kitlapowill tle:n panok, iwan henopa nochi tonati nopa kwahtli, iwaya motlali nopa tlakatl kiyolchikahi nopa tlakatl.	Le refirió lo sucedido, y así, durante varios días el gavilán acompañaba al hombre que lloraba su tragedia.
Ipan no:pa se tonati no:pa kwahtli kiihlihi ayokk¿hana ma: mochokilli, tla: tlawel kitlasotlayaya no:pa isiwa, tle: nelia axweli kilkawa iwan tla: nelneliya sampa kinekiyaya kiitas, ya: weliskiya kipalewia, weliskiya kiasis ipan se lugar...	Uno de esos días el gavilán le dijo que ya no llorara tanto, que si tanto quería a su esposa, que si de veras no la podía olvidar y quería verla de nuevo, él lo podría ayudar, pues podría encontrarla en cierto lugar...
Wankino kimakak se payo chichiltik iwan kiihlih para axtlakwas chikome tonati iwan tla tlakwas mokawas nepa.	Entonces le dio un pañuelo rojo y le dijo que tenía que ayunar siete días, y que si en esos siete días  comía se quedaría siempre allá donde ella estaba.
Wankino kiihlihi: -¡Xita! Ika ni payo timonehmiltis.	¡Vete! -le dijo- Con este pañuelo vas a emprender tu camino.
Achtowi tikasis kwakruses kwekwetsitsi, pero kema tikinsis se weyi, nopano/nopiyo istos mosiwa.	Primero encontrarás cruces pequeñas, pero cuando encuentres una grande; allí estará tu esposa.
Kema tiasiti timakas nopa payo, ya: kimatiya keneke.	Cuando llegues entrégale el pañuelo, ella ya sabe lo que quiere decir.
No:pa tlakatl kich:h tle:n kiihlihi no:pa kwahtli, kema kiitok se kwakrus weyi, kema henopa kiasik nopano/nopiyo nopa iswa wan kimakak nopa payo.	El hombre hizo lo que le dijo el gavilán, cuando vio una cruz grande efectivamente encontró ahí a su mujer y le entregó el pañuelo.
Kiihlihi para tlawel kitlasohtla iwan kiihlamikayaya, yeka kiitato/kitemoto; pero nama kena weliskiya mokwapas iwaya iwan sampa sanseho itstosehya.	Le dijo que la quería mucho y que la extrañaba, que por eso había ido a verla; pero  que ahora podían regresar y vivir juntos.
Nopa siwatl tlakwal chiwayaya, iwan yeka kiihlih pero ya axkiixmatiyaya, kiihlihi para ya tlawel yekyektsi istok iwaya iteta.	La mujer estaba cocinando muy ocupada, por lo que le contestó que ella no lo conocía, que vivía muy feliz con su marido.
Mientras kiihliyaya n tlahtolli, asiko no:pa yankwik iteta wan kitlahtlanilihi ahkia no:pa tlakatl tle:n paxalowa.	Mientras pronunciaba estas palabras, llegó el nuevo marido de la señora y le preguntó que quién era ese hombre.
Iwan no:pa siwatl kiihtahi para no:pa tlakatl itlayi.	A lo que ella aseguró que se trataba  de su tío.
-¡Ah!- kiihtohi iteta. Wankino xitlamaka pampa seguro siatok iwan mayana.	¡Ah! -dijo el marido- Entonces dale de comer que debe venir cansado y ha de tener hambre.
Teipa kema tlanki ttlakwa no:pa iteta tle:n yakwik, no:pa arriero, sampa kiski ika imilla iwa mokwapki ika tlayowa iwan kiwalikayaya nopa kawayaome ika sintli.	Después de comer el nuevo marido, que era un arriero, salió otra vez a la cosecha y regresó ya de noche con las bestias cargadas de maíz.
No:pa arriero iwaya no:pa siwatl yahe kochitoh sehoyok. Kema no:pa arriero kochki, no:pa tle:n achtowi iteta kitemohi se mekatl, moechkawitok kampa istoya nopa kochtoya siwatl iwan no:pa paxalohetl kochito nohia sehoyok.	El arriero y la mujer se fueron a dormir a otro cuarto, y a él le dieron otra habitación.
Kemanopa arriero kochki, no:pa tle:n achtowi iteta kitemohi se mekatl, moe:chakawitok kampa istoya no:pa kochtoya siwatl iwan kiilpihi para kilkwas ieaya ya, pero kema kinehi kikwanawas miak omitl tepehi ipan tlalli. Wankino henopa no:pa tlakatl kimatki para istok iselti iwaya mihatsi ipan teopantli.	Cuando el arriero se hubo dormido, el primer marido buscó una soga, se acercó hasta donde ella dormía y la amarró para llevársela, pero cuando quiso cargarla un montón de huesos cayeron al suello. Fue de tal manera que el hombre se percató de que estaba solo con la muerte en el cementerio.
Kiihtowa wahapame para wahahiya axtisenmikiyaya, nikitl timokwapayaya ipan chikome tonati.	Existe la creencia de que antiguamente uno no se moría para siempre, sino que a los siete días volvía a la vida.
Wan niikitl yani kipana se tlakatl wan no:pa isiwa mihi kema noha chikatok eliyaya iwan kinkatehi ikonewa iknotsitsi.	Esto precisamente fue lo que le pasó a un señor cuya esposa murió joven y dejó a sus pequeños hijos desamparados.
Pero kema nopa iteta yowiyaya tekiti imilla, no:pa isiwa/mihatsi sampa moyolik iwan asiyaya ichan, tlachpa nayaya, tlachikweniyaya, kialtiyaya, kixilwiyaya ikonewa, tlaxkalchiwayaya, iwan tlayehyelchiwayaya achtowi ika lahotona kema iwewe mokwapayaya para tlakwi.	Sin embargo, cuando el señor se iba a trabajar a su milpa, la difunta volvía a la vida y se presentaba en su casa, barría, lavaba, bañaba, peinaba a los niños, hacía las tortillas y, en fin, todo lo dejaba arreglado antes del mediodía cuando su marido regresaba a comer.
No:pa siwatl yowiyaya, pero achtowii ika tlahotona kema iwewe mokwapayaya para tlakwo. No:pa siwatl yowiyaya, pero achtowi kinihliyaya ikonewa axaka ma: kiihlika para ya: kichwayaya no:pa icha:nteki, iwan nohia axnopa intata.	Hasta ese momento ella se iba, no sin antes recomendarle a los niños que no dijeran a nadie que ella era quien hacía los quehaceres de la casa, y mucho menos a su padre.
No:pa tlakatl nochipa kiihlanikiyaya tle:n panoyaya icha, yahaya no:pa tlakatl kitoktoya no:pa isiwa iwan axakayaya ahia kichiwas no:pa tekitl.	Al señor no dejaba de extrañarle lo que pasaba en su casa, pues él mismo había sepultado a su esposa y no había quien se encargara del quehacer.
Se tonati kintlatlanilihi ikonewa iwan inmowentih kiihlihe para nopa inana inkipazaloyaya ika yewantsinko.	Un día les preguntó a sus hijos y ellos le dijeron que su mamá los visitaba por las mañanas.
Iwan henopa no:pa iteta tla: pihpiyaya no:pa seyok tonato iwan kipa:nt isiwa kema tlakwalchiwayaya, kiitak tlawel yehyektsi.	Siendo así, el esposo estuvo vigilante al día siguiente y sorprendió a su mujer haciendo la comida, la vio muy hermosa.
Wan kema no:pa isiwa momakak kwenta kisenilhlih axkana ma: moe:chkkawi, axkana ma: kiitski pampa tla kichiwaskiya ayohkema kiitas.	Cuando ella se dio cuenta, le advirtió que no se acercara, que no le fuera a tocar; porque si lo hacía ya jamás volvería a verla.
Pero no:pa tlakatl kinankilihi para kitayaya tlawel yehyektisi iwan kinekiyaya kikwanahnawas/kimakwanawas.	Pero el hombre le contestó que la veía bellísima y que quería estrecharla entre sus brazos.
Axmochixki kikwananawato, san kema kikwananawehi, kimochilih pero nopa iomiyo no:pa isiwa tepewito ipan tlalli iwan sampa kitohi.	Sin pensarlo más, el hombre fue a abrazarla, mas apenas la hubo tocado cuando sintió que los huesos de su esposa se desparramaron en el suelo y tuvo que volver a enterrarlos.
Nopa siwatl axkema mokwapki.	La señora nunca volvió.
Wahahiya, tlakame kikwayayah intlakwallis xoxowik o ixitok pero axkipiyayah istatl.	En tiempos muy antiguos, el hombre tomaba sus alimentos, ya sea cocidos o crudos pero sin sal.
Wahaya wankino kiski se tlakatl tle:n tekitiyaya nochipa imilla, san ya: kipiyaya itlakwallis ahwiak, pero nopa itera axkimatiyaya para nopa isiwa kikixtiysya istatl ipan itlakayo.	En ese entonces hubo un señor que trabajaba todos los días en su milpa, era el único que tenía la dicha de comer guisados con sal; solamente él era el afortunado de comer algo con sabor, pero sabía que su esposa sacaba la sal de su propio cuerpo.
Se tonati nopa isiwa kino:tski iweswa ma: kikwatih molli wan nopa iweswa ahwiak kimachilihe nopa tlakwalli, kitlatlanilihe kenihkatsa kichihi nopa molli pampa tlawel ahwiak, nopa siwatl axkinehi kinilihi melawak.	Un  día su esposa  invitó  a las cuñadas  a comer  mole, como les pareció un platillo muy sabroso, le preguntaron cómo hacía para darle al mole tal sabor.
Wankino nopa iweswa pehe kikwatotoniya iwan teipa vena kinihlihi: lema para maltiyaya momato toxoniyaya iwan kia:mawiltiyaya iwan nopa a:tl tle:n mokawayaya ipan it lakayo kichikoyaya ika se xikalli iwan mokwapaya nopa a:tl papolontik istatl iwan kinyomelahi para ika ya: nopa kichi:wa itlakwal.	Ella se negaba a decirles la verdad, mas las cuñadas no dejaron de insistirle hasta que por fin les reveló que, cuando ella se bañaba, tallaba con sus manos las gotitas de agua que quedaban en su cuerpo y las atajaba con un traste, en el cual se volvían terrones de sal, les declaró que con eso hacía la comida.
Wankino nopa istasiwatl kikihlitoya nopa melawak, nohia kinihlihi ma: ahmo kiihtoka nopa tlamantli tle:n kinihlihe pampa tla: nopa itera kimatis kiahwas.	Si bien la señora de la sal les había dicho la verdad, también les pidió que guardaran el secreto, porque si su marido lo sabía la iba a regañar.
Wankino nopa iweswa kiyolmelahe nopa iikni tlakatl iwan nopa inikni axkineltokilihi, wankino mokwapke iwaya nopa isiwa iwan kiihlihe para ma: kinmaka se keski istapopolo para inihwantih nohia welis kichi:wase ahwiak tlakwalli, pero nopa san kikakayahe pampa nopa ostapopolo nopa para kiwikilise para kinixtelise nopa inikni tlakatl, wankino nama kena kineltokilihi.	No obstante, las cuñadas corrieron a contarle a su hermano, quien no les creyó. Así que volvieron con la señora y le pidieron que les regalara unos terrones de sal supuestamente para que ellas de igual manera pudieran hacer la comida con sabor, pero sólo se trataba una mentira; en realidad le llevaron los terrones de sal al esposo, que ahora sí quedó convencido.
Wankino se tonati kipipixki nopa isiwa kema maltis iwankino kena kiitak para kena melawak tle:n kiihlitoya nopa ikniwa siwame.	Un día, entonces, se dispuso a vigilar a su esposa cuando fuera a bañarse y comprobó que efectivamente era cierto lo que le habían dicho sus hermanas.
Kema nopa isiwa tlanki maltihi, pehi motlakayo xotoniya ika ima, kichikohi nopa pilatsin ika se kaxitl tle:n moka:toya ipan itlakayo iwan kitemitihi ika istatl.	Cuando su mujer terminó de bañarse, talló su cuerpo con las manos, atajó con un plato las gotas de agua y lo llenó de pura sal.
Nopa tlakatl cholohi iwan kichiyato ichan wankino kena kiahwak iwan kiihlihi para kenke kimaka nopa tlakwallistli tle:n kisa ipan itlakayo kiihlihi para nopa axkwalli para nopa tlawel mopasiwa.	El hombre se alejó del lugar y la fue a esperar a su casa, allí la regañó mientras le preguntaba cómo podía darle de comer de su cuerpo y cómo podía ser una mujer tan sucia.
Wankino nopa siwatl chokate:hi wankino nopa iteta moyolpe:chki iwan pehi kiyoltlaliya, pero ya: axtle:n onkak pampa nopa siwatl ya: axmoketsayaya choka.	Ella rompió a llorar hasta que al hombre le dio lástima y empezó a consolarla, pero no sirvió de nada porque ella no paraba de lamentarse.
Wankino asikoh iweswa iwan nohia kinihlihe para ayohana ma:choka.	Entonces llegaron las cuñadas y también le suplicaron en vano que se callara.
Teipa panok se tlatoktsi nopa istasiwatl kiihlihe nopa iteta:	Después de un rato, la señora de la sal le dijo a su marido:
-Na nimits ahwiak tlamakayaya kwalli titlakwayaya san ta: titlakwayaya kwalli. Wankino heni tine:chtlatlawiya, tine:chtlaihyowiltiya iwan ayok nineki xine:chtlahyowilti seseme niyas, pero san nineki xine:chwalikilli nokwabatea.	-Yo te daba de comer todo bien preparado y con sabor, comías a tu gusto y nadie comía como tú, pero como me has tratado tan cruelmente y como no quiero que me vuelvas a hacer lo mismo; me voy a ir para siempre, sólo te pido que me traigas mi batea.
Nopa pehi tlamoixtemi kema nopa toawi pehi choka, teipa pehi tlatomoni iwan tlapatlani iwan we:tstehi chikawak a:tl, yeka a:temitl temiki.	El cielo, que se había nublado desde el momento en que ella comenzó a llorar, enseguida empezó a tronar y a relampaguear, desatándose de pronto un tremendo aguacero gracias al cual los arroyos y los ríos decrecieron.
Wankino nopa toawi kikwik kwabatea tleho ipan iwan a:kalahi.	Entonces la mujer tomó la batea, se subió en ella y se metió  al agua.
Nopa iteta iwaya nopa iweswa kiihliyaya pero ma: mokwapa, pero axtle:n panok pampa nopa toawi kalaktiahi ipan weyi a:tl iwan seseme yahi.	Su marido y sus cuñadas le suplicaban que regresara, mas sus ruegos fueron inútiles porque ella se adentró al mar y se fue para siempre.
Yeka mama ticho:ka toixayo ya: poyek iwan weyi a:tl nohi poyek pampa nopiyo itstok siwaistateotl.	Por eso, cuando lloramos, las lágrimas tienen sabor a sal, y el mar es también salado pues allí se encuentra la diosa de la sal.
Wahahiya istoya se miktlatenants tlawel mosisinayaya nochi tlamantli kikwalaniyaya, nopa tenantsi kipiyaya se ichpoka tlawel yehyektsi, tle:n tlawel ylaihyowiyaya nopa inana tlawel kitlaihyowiltiaya, pampa axkema kikawilyaya ma: kisa, iwan nohia ma: axsanilo iwaya ixaka nochipa kipihpiyaya iwan kiahkwayaya kema yowiyaya.	Esta era una anciana muy enojona que por cualquier insignificancia intentaba golpear a quien se encontrara. La anciana tenía una hija muy bonita, quien vivía martirizada por su madre, ya que ésta nunca la dejaba salir, ni platicar con nadie, todo el tiempo la vigilaba y la regañaba.
Hachikweniya a:teno nopa tenantsi, kikalsaktewayaya ipan se weyi kwakaho.	Cuando iba a lavar al arroyo, la dejaba encerrada en un cajón grande donde cabía muy bien.
Como no:pa a:temitl e:chkatsi eltoya no:pa siwatl kemantsi kikakiyaya no:pa ichpoka we:tska yeka mokwapayaya kitlahtlaniliyaya iwaya ahiya mopaktya, wan ya; nochipa kinenkiliyaya para iwaya axaka.	Como el arroyo estaba cerca, la mujer a veces oía a su hija reírse, por lo que se regresaba a preguntarle con quién se reía, pero ella le siempre le contestaba que con nadie.
Henopa panok iwan se tonati no:pa siwatl kimatki para no:pa ichpokatl ya: konewa.	Así pasó el tiempo  hasta que la mujer se enteró de que su hija estaba embarazada.
Kema kiitak no:pa iixwi no:pa tenatsi kinehi kimiktis iwan kikwas ichtakatsi para axkana kimatis nopa ichpoka.	Al ver a su nieto, la abuela tuvo la idea de matarlo y comérselo sin que se diera cuenta la muchacha.
Wankino henopa panok tonati, no:pa tenatsi kititlanki nopa ichpoka ma: tla:chikweniti a:teno iwan kiihlihi ma: kikochtektewa no:pa ikone ipan itowe.	Siendo así, algunos días después, la mujer mandó a su hija a lavar al arroyo no sin antes aconsejarle dejar al niño durmiendo en la cuna.
No:pa ichpokatl kena kineltokili nopa inana iwankino nopa tenatsi kimikti iwan kichihi molli.	La muchacha obedeció a su madre y ella por fin pudo matarlo y hacerlo en mole.
Kema mokwapki nopa ichpokatl ika walayaya ika miak apismiktli, wankino no:pa tenantsi kixistoya ika no:pa molli iwan kiihlihi:	De regreso de lavar, a mediodía, la madre del niño venía ya con hambre. Entonces la anciana, que la esperaba con rico mole, le dijo:
-¡Ximosewi! Xitlakwaya namatsi mokone kochtok,	—¡Siéntate! Ya come que el niño está durmiendo.
pero no:pa tonantsi María kikahi ipan ilwkatl para se konetsi tsatsiyaya ite:no se a:temitl, wankino tenok tlachiyato iwan kiitak se konetsi wan no:pa itlakayo kikwatoyah michime, kinotski no:pa michime iwan kinihlihi ma: kiisa tlaka no:pa nakatl tle:n kikwatoyah.	Sin embargo, la Virgen María en el cielo escuchó que un niño lloraba a la orilla del agua. Bajó a echar un vistazo y se percató de que se trataba de un bebé cuyo cuerpo se haabían comido los peces, llamó a éstos y los obligó a devolver la carne que habían comido.  
No:pa michime kikatlakilihe iwan no:pa konetsi sampa moyolwik.	Los peces la obedecieron y el niño volvió a quedar como nuevo, como si nada le hubiera pasado.
Nopa tonatsi kinawatihi no:pa ayotl ma: kimokwitlawi wan no:pa ayotl kena tlakahi, nochipa kiwikayaya no:pa konetsi ikwitlapa pero no:pa konetsi tlawel, kipanwasaniyaya.	La Virgen le encargó a la tortuga que lo cuidara y la tortuga así lo hizo; llevaba siempre al niño sobre su espalda, y cómo él era muy travieso, le rasguñaba el caparazón. 
Yeka nama kema tikinitah no:pa ayome ya: kipiya miak tlawasantli inkwitlapa.	Es por eso que las tortugas tienen tantas rayas en la espalda.
Iwan henopa panok tonati iwan no:pa konetsi moskawaltehi iwan se tonati kinehi kipaxatoti inana, wankino kiyolmelahi no:pa ayotl pampa nopa ayotl ya: kitokaxtiyaya iawi iwan nopa ayotl kiihlihi para kena.	Con el paso del tiempo el niño creció y un día quiso visitar ue le pidió permiso a la tortuga, a la que llamaba tía, y ella se lo concedió.
Yahi kiitato inana iwan kitato inana iwan san mosewitok wan tlawel mokwestok kiitsomayaya yoyomitl ikalixpa iwan kema tlehok ipan se kwawitl inawak se kalli kimahawayaya xiwitlinane wan henopa wetsiyaya ipan itlatso.	Se fue a ver a su madre, a quien halló sentadita muy triste cosiendo ropa a la puerta de su casa, de modo que subió a un árbol junto la casa tirándole hojas a su madre haciendo que cayeran sobre su costura.   
No:pa inana tlachixki ika wahapa iwan kiitak no:pa ikone. Pero no:pa ikone kiihlihi para amo ma: molini.	La mamá alzó la vista y vio a su hijo, pero el pequeño le indicó que no hiciera ruido porque los iba a escuchar su abuela.
