kwookwilkwowit,	kwookwilkowit,
Porin ixiwyo. Yehwa.	Por la hoja. Eso.
Yehwa yo:ni.	Eso es.
Yehwa yo:ni.	Eso es.
para nopi:piltsitsi:n nikinta:lilia:ya ke:meh yo:n i:ksá: kinkwi te:mpala:n.	para mis hijos, les poniá a mis hijos cuando se enfermaban del mal de boca.
Ke:mah.	Sí.
Ke:mah.	Sí.
Wa:n, wa:n	Y, y
Yehwa yo:n. Yehwa yo:n.	Eso es. Eso es.
A:mo pili n' kele:wia, ta: tehwa:n tite:na:meh.	El bebé no se le antojó, sino nosostros como madres.
Se:sepa a:mo sayoh pilimeh.	A veces no salamente los niños.
wa:n yehwa yo:n toto:nik panki:sa	y esa fiebre se sube
se: ite:noh.	a la boca.
Yehwa ya yo:n tehwa:n tikihtowah. Wa:n yo:n tein tite:chtapowihtok de m' pilimeh,	Eso es lo que nosotros decimos. Y eso que tú nos cuentas, respecto a los niños,
Neh nikmati pané: yehwa sah yo:n. Neh nimono:tsa	A mi parecer que solamente eso. Yo me llamo
Rubén Macario, niwa:le:wa de Chilcuauhta.	Rubén Macario, vengo de Chilcouhta.
Neh niwi:tsa de Xaltipan.	Yo vengo de Xaltipan.
de ka:ni n' tiwa:le:wa?	de donde vienes?
Xaltipan. Nimono:tsa niMaría Ocotlán Fermín Cabrera.	Xaltipan. Me llamo María Ocotlán Fermín Cabrera.
Ke:mah wa:n ne: neli ke:meh i:n tikihtohtokeh ekintsi:n,	Sí y ciertamente, así como estamos comentando ahora,
i:n tikihtowah tehwa:n tehsá: tikele:wiah.	nosotros decimos que algo se nos antojó.
A:mo nite:tahtani:s wa:n a:mo akah ne:chilwi:s.	A nadie voy a preguntarle y nadie me lo va a platicar.
Ne: n' imomá:n kele:wia:ya wa:n pili te:mpala:ni,	Este, su mamá se le antojaba y el bebé se ha enfermado de mal de boca,
Pané: nikwa:skia, pero a:mo n'piaya n' tomi:n.	Parece que lo comería, pero no tengo dinero.
A:mo nikwah.	No lo comí.
Ihko:ni yo:n chi:wi.	Así sucede.
Ihko:ni yo:ni neh n'mattok.	Así es como yo sé.
Wa:n no: i:xko onkak, a:mo tikihto:s xa: n' te:tahtani:s.	y yo lo tengo por experiencia, no lo voy a investigar.
Ke:meh neh nikinta, ne:n, tikmattok nikinta na:nahmeh tein	Como yo cuido a las mujeres, este, sabes que yo cuido a las mujeres que
ihkó:n tepitsi:n mokwa:kokowah ika se: kone:t.	están embarazadas.
A:mo, a:yamo wehka:w nia:ti,	No, no tiene mucho,
Nikahsito ompa ne:n kokoxkeh.	Fui a encontrar a la que está embarazada
"Ka:n teh nikele:wia".	"No se me antojó nada".
"A:, n' a:mo teh tikele:wia"	"Ah, no se te antoja nada"
"Ka:nah, ka:n teh nikele:wia."	"No, no se me antoja nada."
Wa:n teh nikilia, "Gabriel, ¿Ka:n tiahka ya:lwa?"	"Y tú" le digo "Gabriel, ¿Dónde fuiste ayer?,
"A:, niahka Tetelilla".	"A, fui a Tetelilla".
Pe[ro] a:mo nikahxitih n' tomi:n para nimokowili:s se:".	pero yo no me acompleté el dinero para comprarme una".
xikchi:wili i:n pahti. 'Kwiti,	prepárale esta medicina. Ve a traer,
xikwiti piotet wa:n xkwiti xonakat,	ve a traer huevo y ve a traer la cebollina,
Wa:n xmaka mokone:w.	Y dale a tu hija.
I:n tose:pankone:w, ke:meh namehwa:n, ke:meh nehwa.	Éste es nuetro, así como ustedes y también es mio.
Wa:n ka:mpa nikilwih wa:n ka:mpa ne:,	Y donde le dije y donde este,
i:n pili yetoya de paratani a".	éste bebé ya estaba hasta abajo".
Yekintsi:n we:i a siwa:pilkone:t.	Ahora, la niña ya está grande.
Ohka:n, e:xka:n ihkó:n nikchi:wa.	En dos, tres lugares, así hice.
kiahsika:mattok ton kokolisyokiahsi se: kone:tsí:n,	sabe muy bién que enfermedades más frecuentes puede darle a un bebé,
Ke:mah yeh.	Así es.
semi, mah tikihto:ka:n semi te:chpolowa ok. Aya:mo semi tikahsika:matih.	es muy, digamos nos falta mucho. Todavía no sabemos mucho.
namehwa:n namoi:xpan onkak wa:n ika yo:n nantekitih.	ustedes tienen la experiencia y se dedican a eso.
tine:chilwih. Yehwa sah yo:n, n'tasohka:mati miak.	me lo has dicho. Solamente eso, muchas gracias.
tein tikmati xkihto. A:mo xke:wa, ¿ke: n' tike:wtok?	lo que sabes, cuenta. No lo guardes, ¿Porqué lo vas a guardar?
A:mo tikihtowah tikwi:kah koyo:ko, onkak nika:wí:n.	No decimos que nos lo llevamos al doctor, aqui hay.
Se: kwali para yehwa:n,	Es un beneficio para ellos,
a:mo para nehwa ok, para yehwa:n ya.	ya no para mí, sino para ellos.
Kihto:skeh, "Chika i:n na:nahtsi:n ne:chilwihka ihkwí:n.	Pueden decir, "Por cierto, ésta señora me había dicho así.
¿toni mitsmaka na:nah?" "A:, neh ne:chkokowa nika:n.	¿Qué te pasa señora?". "Ah, a mi me duele aquí.
A:man ne:chkokowa notahkoya:n". "¿Ke: mitskokowa pero?"	Ahora me duele la cintura". "¿Porqué te duele?"
komo onkak, xkwiti wa:n xikwa".	si acaso hay, ve a traerlo y come".
ma:kwi:l ki:lohpan, ta: ma:ski tsiktsi:n.	cinco kilos, sino aunque sea muy poco.
Yehwa ya n' ika timotakowiah n' a:man.	Con eso, ahora compramos.
Mm. Tasohka:matik miak ke:mah, name:chkaya:w i:n noxolopihyo.	Mm. Muchas gracias, les he contado mi mentira.
tasohka:matik miak. Neh nimono:tsa niRubén Macario de Chilcuauhta. Nipowi nika:n San Miguel.	muchas gracias. Yo me llamo Rubén Macario de Chilcuauhta. Pertenezco a San Miguel.
Ke:mah yeh.	Así es.
Yehwa sah yo:n, tasohka:matik miak.	Solamente eso, muchas gracias.
Niwa:le:wa Xaltipan.	Vengo de Xaltipan.
Pero ne:chno:tskeh nika:n ta:tahmeh mah nikinohno:tsaki.	Pero me hablaron aquí los señores que venga a platicarles.
Pos	Pues
Mm. Totahto:ltsi:n kihtowa ne: ika timotekipanowah.	Mm. Nuestra palabra nos ayuda a sobrevivir.
ke:mah.	si.
Neli.	Es cierto.
Neli. Tasohka:matik miak pos na:nah.	Es cierto. Muchas gracias pues señora.
para toni kitatekiwtiah.	para que la usan.
para toni n' kitatekiwtiah.	para que la usan.
pané: no: kikwih kwilo:t, pero a:mo nikye:kmati ox yehwa n' kikwih.	parece que lo ocupan para cintas pero no estoy muy seguro si lo ocupan.
Kihtowah no: wehka:wa, komo yehwa ne:n kikwih. Wa:n ne: ixo:chio mahyá: yo:n,	Dicen que si lo ocupan de este tronco, también dura un buen tiempo. Y la flor se parece a, 
pe:wa poso:ni. Pané: itech mayo m' poso:ni, a:mo no: nikye:kmati.	florean. Parece que florea en mayo, no estoy muy segura.
No: ahalaxtik wa:n ihi:xeh,	Es liso y tiene nudos,
wa:n wehwei kowit mochi:wa xa:,	y crecen grandes, quizá,
xa: oho:me, e:yi me:troh, pané: kowtako:t mochi:wa.	quizá unos dos, tres metros, crece delgado, como vara.
Pero ompaka ne:, ne:wí:n mochi:wa.	Pero se da en ese rumbo.
Wa:n no: n' oksé: n' taman tein yo:n ta:lpan mochi:wa, yo:n kikwih pahti.	Y el otro que crece a una altura muy pequeña, esa la ocupan para medicina.
Pos ke:mah, neh yehwa neh nimitsilia neh yo:n	Pues sí, yo solamente eso te digo.
tein tikihtowa ta:lpan moskaltia xiwtsí:n, yo:n se:, mahyá: se: xiwtsí:n, yo:n a:mo kowit.	de la que dices que crece en el suelo, esa es una planta, no es un árbol.
Yo:n mahyá: se: xiwtsí:n sah moskaltia.	Esa crece como una hierba.
Pero i:n tein tine:chnohno:tstoya de i:n kowtsí:n, neh no: niki:xmattok,	Pero del que me hablabas, el que es un árbol, también lo conozco,
por Atekohkomol, por Ta:lchi:chi:l, por Tahchikteko.	por A:tekohkomol, por Ta:lchi:chi:l, por Tahchikteko.
para toni n' kitatekiwtiah.	para qué lo usan.
Yo:n kikwih ixiwyo.	Ocupan las hojas.
Ka:mpa yo:n tehteyoh,	En los pedregales.
tehtetsala:n moskaltia yo:n xiwtsí:n.	en las hendiduras, ahí crece esa planta.
Yo:n noya:n onkak, ka:mpa ne:wí:n kowyoh pos	Se da en todas partes, pues en los montes
Pero yo:n ka:mpa yeski tikahsis, ka:mpa yeski onkas. Itech kahfe:ntah, ke:meh i:n ka:mpa se: tame:wa.	Esa planta lo puedes encontrar en cualquier parte, en cualquier parte. En el cafetal, en cualquier terreno donde se limpia.
wa:n tikte:mohtiwa:la:yah ata wa:n tikahsikah.	y lo veniamos buscando y lo habiamos encontrado.
kwakwa:nakatsitsi:n, te:na:yopahxiwit. Uhuh.	kwa:kwa:nakatsitsi:n, te:na:yopahxiwit. Uhuh.
Wa:n neh n'mattok yehwa yo:n xiwit, tein teh tikihtowa ta:lpan mochi:wa, mochi:wa kahfe:ntah,	Y yo se que esa planta, la que tú dices que crece en el suelo, crece en el cafetal,
mokohkopi:na mahyá: xo:chit, ox iteyo, x'mati toni yo:n,	brota como si fuera una flor o quien sabe, quizá sea el fruto
Komo timomakatok kwe:ntah, yehwa neh nimitsilia.	Pues si sabes, eso es lo que yo te digo.
mahyá: se: chihchime:ya.	pareciera que sale mucha saliva.
Eh. Tein kwaltsi:n tietokeh, a:mo teh te:chkokowa wa:n a:mo teh tikpiah,	Eh. Los que estamos bien sanos, no nos duele nada y no tenemos nada,
tichihchatokeh. Wa:n yo:n seki ata sa chihchatokeh,	que a cada rato estemos escupiendo. Algunas personas escupen a cada rato,
yo:n no:, yo:n no:, no: kokolis. Yehwa ya nimitsilia neh, mahyá: yo:n kana:pepexokatokeh.	esa también es una enfermedad. Es lo que yo te digo que se les sale mucha saliva.
kwaltia nochi n' o:me taman, ixiwyotsi:n wa:n ixo:chiotsi:n.	Sirven las dos partes de la planta, puede ser la flor y las hojas.
se: sepa ika no: n' timopahtiah. Ke:mah.	a veces también lo ocupamos para curarnos. Si.
kwa:kwa:nakatsitsi:n, neh i:pa o:me taman sah niki:xmattok.	el kwa:kwa:nakatsitsi:n. yo solamente conozco dos tipos.
wa:n a:xka:n tein neh niki:xmati, no: ihkó:n teh tiki:xmati.	y ahora, de lo que yo conozco, pues también así lo conoces.
Pos semi kwali a. Neh nimitsilia yo:n xiwtsí:n pos yo:n nimitsilia para te:na:yo:pahxiwit,	Pues es muy bueno. Pues yo te digo que esa planta es muy bueno para curar cuando un niño o adulto se le cae la baba. 
Ta:ká:n oksé: talna:miki:lis tikpia, oksé: tatsi:ntokalis,	Si acaso tienes otra información, otra pregunta,
[Ta]sohka:matik miak, neh nimono:tsa niRubén Macario,	Muchas gracias, yo me llamo Rubén Macario,
niwa:le:wa de nika:n Chi:lkowtah.	Vengo de Chilcohuta.
Ompa nika:n nipowi, nika:n San Miguel.	pertenece a San Miguel Tzinacapan.
Eleuterio Gorostiza.	Eleuterio Gorostiza.
Tzinacapan.	Tzinacapan
toni ne:n kwaltia wa:n ka:n[i]mochi:wa.	¿Para qué sirve y en qué parte se da?
Neh niki:xmattok kilwiah	Yo conozco a una que le llaman
seki xiwtsitsí:n mono:tsa tsotsokapahxiwit.	una planta que se llama tsotsokapahxiiwt.
A:mo nikmati kox no: tiki:xmattos n' teh.	No sé si tú también la conozcas.
Yo:n semi onkak ke:meh i:n tahta:lke:span,	Esa se da muy bien en la superficie de los bordos,
N' ixiwyotsi:n,	Las hojas,
ke:meh, ke:meh kahfe:ntet.	parecido a los frutos de café .
Pa:ti.	Se deshace.
Wa:n ompa ke:mah xikwi a yo:n, xikwi a yo:n iteyotsi:n yehwa yo:n xiwtsí:n	Y luego ya agarras los frutos de esa planta
Ke:mah, yehwa n' tehwa:n tikiliah tsotsokapahxiwit.	Si, es la que nosotros le llamamos tsotsokapahxiwit.
Ne:wí:n por Ta:lchi:chi:lkopa, por Atekohkomolkopa, nika:n,	Allá por Ta:lchi:chil, por A:tekohkomol, aquí,
nika:wí:n tehwa:n no: nochi yehwa yo:n xiwtsí:n. Ke:mah.	esa planta hay mucha aqui, donde nosotros vivimos, 
neh niki:xmati yo:n tein kitekkah yo:n, yehwa eski tein tikihtowa yo:n pané:,	yo conozco ese, al que habían cortado, quizá sea al que tu mencionas que se parece, 
pané: kapolin ne:n ita:kka.	los frutos se parecen como capulines.
Yo:n se: taman.	Esos son otros.
Wa:n seki ixta:wat mochi:wa no: iwki kito:ka:ytiah,	Y unos se da en los potreros, también así los conocen,
pero yeh, yeh ne:nke:n pisi:ltik n' ixiwyo,	pero las hojas son mucho más pequeñas,
Pero n' tikihtowa ne:n tein yo:n, tein yo:n tihti:ltik yeh ne:nken wehwei n' ixiwyo.	Pero dices que ese, la de las semillas que tornan a ser negras, las hojas son un poco más grandes.
Wa:n i:n oksé: neh nimitsilia ye:kma:pisi:ltik, yeh mochi:wa ixta:wat.	Y la  otra, la que te digo tiene hojas pequeñas, crece en potreros.
Wa:n neh n'mattok, nikinkakilia n' tokni:wa:n,	Yo sé, he escuchado de la gente, 
A:mo n'mati yehwa yo:n n' tein teh tikihtowa yo:n kapolin.	Pero de los capulines que tú mencionas no sé si también cura.
pero a:mo ke:man se: kikwi. Neh yo:n a:mo ke:man nikwi.	pero nunca las ocupa uno. Yo nunca he usado los frutos de esa planta.
Wa:n niki:ita ta: onkak, ixta:wat mochi:wa miak, ompa mopa:pacha:nia kwaltsi:n,	Y sí la he visto, pues sí hay, en los potreros se da mucho, ahí se extiende muy bien,
cho:kiloh.	la que tiene savia.
Katí:n ke:mah neh n' tein nimitsnohno:tstok neh yo:n ta:lpan mosowa.	Lo que si sé es de lo que yo te platico es la que se extiende en el suelo.
tsotsokapahtxiwit.	es bueno para curar los mezquinos.
Yo:n ta:lpan mosowa,	Esa se extiende en el suelo,
ompa ka:mpa n' imekayo, n' ikwomekayo, mahyá: se: komekatsí:n tikihtowah n' tehwa:n mosowa.	ahí en el tallo, el tallo es como si fuera un bejuco, podemos llamarle así, se extiende.
A:mo, nikmati de kati:yeh teh tine:chnohno:tstok,	No sé de cual planta tú me platicas,
timose:nte:nkwitokeh timonohno:tstokeh ika i:n xiwtsí:n,	que hayamos platicado sobre esta planta, 
semi nikneki nikahsika:matis neh	Quiero saber bien, 
katí:n, katí:n taman xiwit tein ika tine:chnohno:tstok n' teh, ke:niwki n' ikowyotsi:n,	cual, cual es, cómo es la planta de la que tú me platicas, cómo son los frutos,
ma:tohtohmiyoh wa:n	hojas pubescentes y 
xa: yehwa, xa: no:, xa: no: niki:xmattos neh, nikneki nikmatis xne:chtapowi ke:niwki wa:n ka:ti:yeh wa:n ke:ní:w moskaltia,	quizá sea, quizá tambien la conozca, quiero que me platiques cómo es, cómo crece esa planta,
para no: nimitsmela:wi:li:s, xa: no: niki:xmattok neh.	para que yo pueda decirte, quizá también la conozca.
Yehwa yo:n neh nikneki n'matis.	Eso es lo que yo quiero saber.
A:mo, tein nimitsilia tihti:ltik n' iteyo yehwa yo:n, tein yo:n tikihtowa teh mochi:wa i:n Ta:lchi:chi:lkopa, yo:n mopahpacha:nia wa:n	No, la que yo te digo que tiene frutos negros, es la que tú dices que se da en Ta:lchi:chi:l, la que se extiende y 
yehwa yo:n. A:mo, ta: neh nimitsilia tsotsokapahxiwit kiliah seki, ixta:wat mochi:wa.	Esa. No, la que te digo que la conozco como tsotsokpah, se da en los potreros.
Pero a:mo ke:man nikita ox xo:chiowa, xoxoktik yo:n, ye:kma:pisi:ltik,	Pero nunca he visto que floreé, las hojas son verdes y muy pequeñas,
wa:n no: [mo]pa:pacha:nia ta:lpan.	y también se extiende sobre el suelo.
wa:n ika mah kixita:ni:ka:n ne: ka:mpa tsotsokatih.	y con ellas se raspa los mezquinos.
A:mo n'mati ox neli pahti.	No sé si sea cierto que tenga propiedades curativas para los mezquinos.
ne: Ta:lchi:chi:lkopa mochi:wa tsotsokapahxiwit yo:n tihti:ltik, ne:n,	que se da por Ta:lchi:chi:l, la que tiene frutos negros ,
iteyo n' ihwa:k oksi, pané: kapoltsitsí:n mopihpilowa,	cuando los frutos se maduran tornan a ser negros, como si fueran capulines,
ne:nke:n ok ma:pisi:ltik.	las hojas son un poco más pequeñas todavía.
Yo:n ma:wehwei komohkó:n, a:mo, i:n ne:nke:n ok ma:pisi:ltik wa:n [mo]pa:pacha:nia.	Pues esa, las hojas son grandes y la que yo te digo son muy pequeñas y se extienden.
Pero a:mo n'mati ox xo:chiowa, ke:ní:w yo:n mochi:wa.	Pero no sé si florea, cómo es la planta.
Wa:n yehwa neh nimitsilwia, pero pos	Y eso es lo que yo te digo, pero pues
tak xa: eski tikmatis mah tikihto:ka:n,	quizá sea por, digamos,
Sanoke a:mo nochi tikmahmatih mah nikihto neh.	pero no lo sabemos de todo, por decirlo así.
Welis ke:mah, ke:meh i:n timonohno:tstokeh tehwa:n i:n tsotsokameh,	Quizá sea así, así como estamos platicando sobre los mezquinos,
a:mo sayoh sentaman pahti, sanoke onkak miak taman pahti.	no solamente hay un tipo de medicina, si no que hay varias formas de curar.
Yo:n okwiltsí:n x'kwi wa:n x'pa:ta,	Agarras el animalito y lo machacas,
wa:n xikta:lili n' ka:mpa ne:n, ka:mpa n' tikpias ne:n tsotsokat,	y lo pones sobre el mezquino,
yeh ke:mah, neli niki:xtamia.	pero eso sí, lo extermina.
mowe:ita:lia, mowe:ita:lia yo:n kokolis.	empeora, empeora el mezquino??
Nikpia se: nosiwa:piltsí:n	Tengo una hija,
wa:n kikwik n' tomakilokwilin wa:n ki:xxakwaloh ika.	y agarró el tomakilokwlin y se lo untó.
mopampiloh mahyá: se: a:t, pe:wak a:sohsolo:ni.	se colgó como una bolsa con agua, le salieron ampollas.
Yeh ka neh nimitsilia,	Por eso yo te digo, 
onkak para yo:n tsotsokameh, onkak a:mo sayoh sen taman, a:mo sayoh sen taman xiwtsí:n onkak, sanoke miak, miak taman	Para desaparecer los mezquinos, hay diferentes medicinas, no solamente un tipo de planta, si no que hay varios tipos 
Yehwa yo:n neh nimitsilia.	Eso es lo que yo te digo.
Pos semi kwali a ke:meh yo:n tine:chilia, no: niknekiskia mah niki:xmati tein teh tine:chtapowihtok yo:n	Es muy bueno que me hayas dicho, quiesiera conocer la planta que tú me platicas, 
xiwtsí:n tein tikihtowa n' teh tsotsokapahxiwit.	de la planta que tú dices que sirve para desaparecer los mezquinos.
Mah no: niki:xmatiskia,	Que también la conozca,
a:mo nikto:ka:yi:xmati.	no sé cómo se llama.
Tein neh nikto:ka:yi:xmattok ke:meh yekintsi:n nimitstapowih,	La que sí sé como se llama es la que te he platicado,
katí:n yehwa wa:n ke:niwki,	cuál es y cómo es,
wa:n ke:ní:w moskaltia.	y cómo crece.
Yehwa yo:n neh nimitsilwia.	Eso es lo que te digo.
Pané: yehwa sah nochi ne:n i:n xiwit timonohno:tskeh.	Parece que es todo lo que hemos platicado sobre esta planta.
Pos ke:mah.	Pues sí.
timonohno:tskeh wa:n neh no: niknekiskia pos	hemos platicado y yo también quisiera pues
ta:ká:n timoahsih nika:wí:n ka:mpa i[ka]onkak yo:n xiwtsí:n, no: komo tiweliskia xikteki se:	si acaso nos encontramos cerca de donde hay esa planta, si te es posible córta una, 
Yehwa sah yo:n, tasohka:matik miak,	Solamente eso, muchas gracias,
Neh nimono:tsa Rubén Macario,	Yo me llamo Rubén Macario,
Eleuterio Gorostiza, ninemi Tzinacapan.	Eleuterio Gorostiza, vivo en Tzinacapan.
¿ka:nachi taman de xa:lkowit tiki:xmati?	¿Cuántos tipos de xa:lkowit conoces?
pos tein kwaltia para pahti wa:n tein a:mo kwaltia para pahti.	la planta que se usa para curar y otra que no se puede usar para curar.
tein [k]e:meh yo:n i:ksá:,	es esa como cuando 
i:ksá: no: kinina:miki ne:, mah ika se: kinpoxpi:ki.	a veces les hace un buen efecto, hay que ponerles en emplasto en el abdomen. 
Kwowit pero pos yo:n no:, yo:n no: oksé taman, pero no:, pos no: mahyá: no: iwki a, pero,	Árbol pero pues ése también, ése es otro diferente, pero también, también se parece, pero
wehwei ne:n ima:xiwyo. Ke:mah.	sus hojas más grandes. Sí. 
Xiwit, tein tikihtowah tankwa:kwi:kwil xiwit,	La planta que le llaman takwa:kwi:kwil xiwit, 
sayoh porin ixiwyo wa:n ikowyo.	sólo por sus hojas y su tallo.
Pero n' ixo:chio,	Pero su flores, 
Ke:mah, iwkitik a.	Si son parecidas.
Ke:mah.	Sí.
Ma:xahxa:ltik, n' ke:meh yo:n tankwa:kwi:kwilxiwit no: ma:xahxa:ltik n' ixiwyotsi:n.	Parece que tienen arena, como las hojas de tankwa:kwi:kwilxiwit que parece que también tienen arena.
Sepa n' tein tikihtowa para pahti no: ma:xahxa:ltik n' ixiwyo.	Y de la planta que usted platica que es curativa también tienen arena sus hojas.
Ke:mah.	Así es.
Sepa n' tein yo:n tikihtowah tehwa:n mahyá: ma:yehyewaltik,	Y de la otra que platicamos que parece que tiene hojas redondas
Pos nochi iwki sah. Ke:mah, nochi iwki sah, pero sayoh neli yehwa yo:n ika mopata.	Pues todos son iguales. Sí, todos son iguales, pero sólo cambian por eso.
de yo:n e:yi taman tein tiki:xmati, tiki:xmatih,	de esos tres tipos que usted conoce, usted conoce, 
¿kati:yeh kwaltia para pahti?	¿cuál es el que se usa para curar?
Pos yehwa n' tein kilwiah, ne:n, n' xa:lkowit tein yo:n ma:pisi:ltik.	Pues el que le dicen, es el xa:lkowit que tiene las hojas más pequeñas.
tein se: kitatekiwtia para n' [k]e:meh i:n,	el que se usa como cuando se,
kimpoxpi:ki.	se les pone en emplasto.
ika ne: tepitsi:n tekixkitsi:n. Mm.	le agrego un poco de sal caliza.
Neh nikmattok kwali, ke:meh tine:chtapowia tehwa:tsi:n,	Yo sé muy bien, así como usted me platica.
mahyá: no: neh nikmattok kwali, no: semikwali para tai:skeh.	parece que, también sé que es muy bueno darles de tomar en té. 
wa:n mah tai:ka:n.	y que se la tomen el té. 
mahyá: se: xiwtamolo:ntsi:n sah.	como si fuera un tecito nada más. 
Mah se: tai.	Hay que tomarlo.
Yehwa yo:n, te:ihtipa:ktiki:sa mah tikihto:ka:n.	Eso es, digamos que pasa a lavar los intestinos.
Ke:mah. Mm. Te:ihtipa:ka.	Así es. Mm. Lava por dentro.
Ke:mah. Ta: yetok sah tein ne:n, tein kwaltia.	Así es. Sólo algunas se pueden usar para curar.
Yetok sah.	Sólo algunas.
Ke:mah.	Así es.
Ke:mah wa:n yo:n tankwa:kwi:kwil, tankwa:kwi:kwilkowit tikihtowa, ¿para toni yo:n kwaltia?	Sí, y el tankwa:kwi:kwil, el que le llamas tankwa:kwi:kwilkowit, ¿para qué sirve?
¿Para toni n' kitatekiwtiah mah tikihto:ka:n?	Digamos ¿qué usos le dan?
tatsakwil para n' tapala:n, mah a:mo eliwis taochpa:na n' a:tsí:n.	un corral para que detenga el abono, para que no se erosione el suelo con el agua.
Ke:mah selia.	Sí luego retoña. 
Yehwa yo:ni.	Así es.
Ke:mah, ke:mah, xa: semi a:yoh.	Sí, si, tendrá mucha agua.
kwaltia, kwaltia ke:meh yo:n para teihsá: ihkó:n tatsakwil.	sí sirve, sirve para poner un cercado, para un corral.
mahyá: a:mo nikye:kmati neli, no: niknekia nimitstahtani:s,	la verdad no sé muy bien, también quería preguntarte, 
A:mo nikmati namehwa:ntsitsi:n kox no: ihkó:n nanki:xmatih,	No sé si ustedes también lo conocen así.
Ke:mah.	Así es. 
Kemah.	Así es.
Wa:n yehwa yo:n nehwa nikneki nikmatis ne:, ke:ní:w namehwa:n nanki:xmatih.	Y eso es lo que yo quiero saber, ¿ustedes cómo la conocen?
Neh niki:xmati mahyá: tikto:ka:yi:xmatih tehwa:n,	Yo conozco, parece que lo conocemos nosotros como, 
A:mo nikmati tehwa:tsi:n ke:ní:w n' tiki:xmati.	No sé usted cómo lo conoce. 
Xa:lkapolin.	Xalkapolin
Ke:mah, xa:lkapolin.	Así es, xa:lkapolin.
Ke:mah. Tak [y]eh [i]ka yo:n kiliah xa:lkapolin. Ke:mah.	Sí. Quizá por eso le llaman xa:lkapolin. Así es.
oksé: te:i:xmati:lis tikpiah.	tenemos diferentes conocimientos.
Pos semi kwaltsi:n mah timoma:mati:lti:kan ihkó:n para mah	Pues es muy bueno que lo platiquemos así para que
Pos ta:taman titalna:mikih.	Pues pensamos diferente. 
Yehwa sah yo:n, tasohka:matik miak. Neh nimono:tsa niRubén Macario, niwa:le:wa de Chilcuahta, nipowi nika:n San Miguel.	Eso es todo, muchas gracias. Yo me llamo Rubén Macario, vengo de Chilcuahuta, pertenezco a San Miguel.
Ke:mah. Mm. Ke:mah.	Así es. Mm. Sí es cierto.
Neh niwa:le:w de ne:n,	Yo vengo de allá,
ompa ne: toxola:l San Miguel Tzinacapan wa:n neh nimono:tsa niMaría Juárez Salgado.	de mi pueblo San Miguel Tzinacapan y yo me llamo María Juárez Salgado.
[Ta]sohka:matik miak.	Muchas gracias. 
'Ne:chtapohpolwi na:nah, neh nimitstahtani:sneki de seki xiwtsitsí:n mono:tsa mowih,	Perdóname doña, te quiero preguntar acerca de alguna hierba que se llama <i>mowih</i>,
Pos neh niki:xmattok de yo:n kilwiah mowih, neh niki:xmattok i:pa sentaman sah.	Pues, yo conozco de este que dicen <i>mowih</i>, yo conozco acaso solamente uno hay.
Yo:n moketsa ata, ne:n, ikowyotsi:n wa:n ma:pisi:ltik, ma:we:weyak,	El del tronco erecto y tiene hojas pequeñas y alargadas,
neh yehwa sah i:pa yo:n niki:xmattok, a:mo niki:xmati komo o:me taman onkak.	yo solamente esto conozco, no conozco si hay dos tipos.
welis o:me taman onkak. Tikmatis ke:yeh tehwa:tsi:n,	que quizá haya dos tipos. Sabe usted porqué,
